epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,1200.25,3.65729,3.85648,2.19139,0.00052,0.52577,0.00069,0.00019,3.95519,3.41893,2.50434,0.00101,0.00101,0.00101
27,1246.37,3.69425,3.87764,2.16602,0.00052,0.54639,0.00078,0.0002,4.00225,3.3572,2.54311,0.0009704,0.0009704,0.0009704
28,1292,3.66149,3.86231,2.16831,0.00057,0.59794,0.00076,0.00021,4.0202,3.33806,2.55909,0.0009308,0.0009308,0.0009308
29,1337.94,3.7038,3.87508,2.20308,0.00052,0.54639,0.00072,0.00019,3.92265,3.31345,2.51859,0.0008912,0.0008912,0.0008912
30,1382.24,3.65043,3.87516,2.17171,0.00044,0.45361,0.00065,0.0002,3.85399,3.45082,2.46206,0.0008516,0.0008516,0.0008516
31,1427.17,3.64839,3.87404,2.17016,0.00046,0.48454,0.00057,0.00017,3.83526,3.45594,2.44593,0.000812,0.000812,0.000812
32,1472.99,3.6648,3.87084,2.18178,0.00052,0.54639,0.00061,0.0002,3.73429,3.39834,2.44354,0.0007724,0.0007724,0.0007724
33,1519.16,3.62294,3.86521,2.16045,0.00055,0.57732,0.00052,0.00016,3.70057,3.379,2.45751,0.0007328,0.0007328,0.0007328
34,1564.73,3.61735,3.87565,2.15521,0.00045,0.47423,0.00052,0.00016,3.82755,3.45184,2.43969,0.0006932,0.0006932,0.0006932
35,1610.93,3.65131,3.88343,2.1946,0.00053,0.5567,0.00074,0.0002,3.81319,3.37961,2.43266,0.0006536,0.0006536,0.0006536
36,1657.47,3.64965,3.8638,2.17372,0.00051,0.53608,0.00075,0.00022,3.83409,3.40111,2.45849,0.000614,0.000614,0.000614
37,1705.51,3.64622,3.86519,2.18636,0.00055,0.57732,0.00068,0.0002,3.77547,3.37801,2.43431,0.0005744,0.0005744,0.0005744
38,1750.5,3.61602,3.85801,2.17682,0.0005,0.52577,0.00081,0.00023,3.8205,3.39461,2.45524,0.0005348,0.0005348,0.0005348
39,1796.53,3.56462,3.88759,2.14624,0.00049,0.51546,0.00082,0.00024,3.74909,3.39286,2.41803,0.0004952,0.0004952,0.0004952
40,1842.13,3.59893,3.89941,2.15383,0.00051,0.53608,0.00083,0.00024,3.74099,3.40877,2.41493,0.0004556,0.0004556,0.0004556
41,1903.03,3.56761,4.15319,2.27676,0.00137,0.15464,0.0008,0.00028,3.73533,3.48921,2.40546,0.000416,0.000416,0.000416
42,1948.32,3.51098,4.08231,2.27904,0.00089,0.12371,0.00051,0.00025,3.63266,3.53639,2.37797,0.0003764,0.0003764,0.0003764
